Date,Open,High,Low,Close,Adj Close,Volume,USD_to_EUR,GDP,NonFarm_Payroll,3_month_Libor,Unemployment
43357,2906.379883,2908.300049,2895.77002,2904.97998,2904.97998,3149800000,#N/A,#N/A,#N/A,#N/A,#N/A
43356,2896.850098,2906.76001,2896.389893,2904.179932,2904.179932,3254930000,#N/A,#N/A,#N/A,#N/A,#N/A
43355,2888.290039,2894.649902,2879.199951,2888.919922,2888.919922,3264930000,#N/A,#N/A,#N/A,#N/A,#N/A
43354,2871.570068,2892.52002,2866.780029,2887.889893,2887.889893,2899660000,#N/A,#N/A,#N/A,#N/A,#N/A
43353,2881.389893,2886.929932,2875.939941,2877.129883,2877.129883,2731400000,#N/A,#N/A,#N/A,#N/A,#N/A
43350,2868.26001,2883.810059,2864.120117,2871.679932,2871.679932,2946270000,1.1572,#N/A,#N/A,2.33125,#N/A
43349,2888.639893,2892.050049,2867.290039,2878.050049,2878.050049,3139590000,1.1624,#N/A,#N/A,2.32706,#N/A
43348,2891.590088,2894.209961,2876.919922,2888.600098,2888.600098,3241250000,1.162,#N/A,#N/A,2.31681,#N/A
43347,2896.959961,2900.179932,2885.129883,2896.719971,2896.719971,3077060000,1.1566,#N/A,#N/A,2.32275,#N/A
43343,2898.370117,2906.320068,2891.72998,2901.52002,2901.52002,2880260000,1.1596,18514.595,149226,2.32075,6370
43342,2908.939941,2912.459961,2895.219971,2901.129883,2901.129883,2802180000,1.1646,18514.595,149226,2.32125,6370
43341,2900.620117,2916.5,2898.399902,2914.040039,2914.040039,2791860000,1.1699,18514.595,149226,2.31263,6370
43340,2901.449951,2903.77002,2893.5,2897.52002,2897.52002,2683190000,1.172,18514.595,149226,2.31475,6370
43339,2884.689941,2898.25,2884.689941,2896.73999,2896.73999,2854080000,1.1676,18514.595,149226,2.31725,6370
43336,2862.350098,2876.159912,2862.350098,2874.689941,2874.689941,2596190000,1.1625,18514.595,149226,2.31725,6370
43335,2860.290039,2868.780029,2854.030029,2856.97998,2856.97998,2713910000,1.1567,18514.595,149226,2.31138,6370
43334,2860.98999,2867.540039,2856.050049,2861.820068,2861.820068,2689560000,1.1595,18514.595,149226,2.31175,6370
43333,2861.51001,2873.22998,2861.320068,2862.959961,2862.959961,3147140000,1.1534,18514.595,149226,2.31025,6370
43332,2853.929932,2859.76001,2850.620117,2857.050049,2857.050049,2748020000,1.1438,18514.595,149226,2.30963,6370
43329,2838.320068,2855.629883,2833.72998,2850.129883,2850.129883,3024100000,1.141,18514.595,149226,2.31188,6370
43328,2831.439941,2850.48999,2831.439941,2840.689941,2840.689941,3219880000,1.1388,18514.595,149226,2.32225,6370
43327,2827.949951,2827.949951,2802.48999,2818.370117,2818.370117,3645070000,1.1332,18514.595,149226,2.31175,6370
43326,2827.879883,2843.110107,2826.580078,2839.959961,2839.959961,2976970000,1.1351,18514.595,149226,2.31519,6370
43325,2835.459961,2843.399902,2819.879883,2821.929932,2821.929932,3158450000,1.1396,18514.595,149226,2.31375,6370
43322,2838.899902,2842.199951,2825.810059,2833.280029,2833.280029,3256040000,1.1399,18514.595,149226,2.31925,6370
43321,2857.189941,2862.47998,2851.97998,2853.580078,2853.580078,3047050000,1.1566,18514.595,149226,2.338,6370
43320,2856.790039,2862.439941,2853.090088,2857.699951,2857.699951,2972200000,1.1598,18514.595,149226,2.3405,6370
43319,2855.919922,2863.429932,2855.919922,2858.449951,2858.449951,3162770000,1.1597,18514.595,149226,2.34144,6370
43318,2840.290039,2853.290039,2835.97998,2850.399902,2850.399902,2874540000,1.1564,18514.595,149226,2.34325,6370
43315,2829.620117,2840.379883,2827.370117,2840.350098,2840.350098,3030390000,1.1597,18514.595,149226,2.343,6370
43314,2800.47998,2829.909912,2796.340088,2827.219971,2827.219971,3467380000,1.1612,18514.595,149226,2.3405,6370
43313,2821.169922,2825.830078,2805.850098,2813.360107,2813.360107,3496990000,1.1666,18514.595,149226,2.34825,6370
43312,2809.72998,2824.459961,2808.060059,2816.290039,2816.290039,3892100000,1.1706,18514.595,148892,2.34856,6730
43311,2819,2821.73999,2798.110107,2802.600098,2802.600098,3245770000,1.1718,18514.595,148892,2.34313,6730
43308,2842.350098,2843.169922,2808.340088,2818.820068,2818.820068,3415710000,1.166,18514.595,148892,2.34238,6730
43307,2835.48999,2845.570068,2835.26001,2837.439941,2837.439941,3653330000,1.1654,18514.595,148892,2.33888,6730
43306,2817.72998,2848.030029,2817.72998,2846.070068,2846.070068,3553010000,1.1677,18514.595,148892,2.33688,6730
43305,2820.679932,2829.98999,2811.120117,2820.399902,2820.399902,3417530000,1.1684,18514.595,148892,2.33488,6730
43304,2799.169922,2808.610107,2795.139893,2806.97998,2806.97998,2907430000,1.1702,18514.595,148892,2.33531,6730
43301,2804.550049,2809.699951,2800.01001,2801.830078,2801.830078,3230210000,1.1708,18514.595,148892,2.34156,6730
43300,2809.370117,2812.050049,2799.77002,2804.48999,2804.48999,3266700000,1.1604,18514.595,148892,2.34706,6730
43299,2811.350098,2816.76001,2805.889893,2815.620117,2815.620117,3089780000,1.1645,18514.595,148892,2.3475,6730
43298,2789.340088,2814.189941,2789.23999,2809.550049,2809.550049,3050730000,1.1664,18514.595,148892,2.34194,6730
43297,2797.360107,2801.189941,2793.389893,2798.429932,2798.429932,2812230000,1.171,18514.595,148892,2.33263,6730
43294,2796.929932,2804.530029,2791.689941,2801.310059,2801.310059,2614000000,1.1667,18514.595,148892,2.336,6730
43293,2783.139893,2799.219971,2781.530029,2798.290039,2798.290039,2821690000,1.1692,18514.595,148892,2.33919,6730
43292,2779.820068,2785.909912,2770.77002,2774.02002,2774.02002,2964740000,1.1722,18514.595,148892,2.337,6730
43291,2788.560059,2795.580078,2786.23999,2793.840088,2793.840088,3063850000,1.1728,18514.595,148892,2.33744,6730
43290,2775.620117,2784.649902,2770.72998,2784.169922,2784.169922,3050040000,1.1744,18514.595,148892,2.33313,6730
43287,2737.679932,2764.409912,2733.52002,2759.820068,2759.820068,2554780000,1.1738,18514.595,148892,2.33144,6730
43286,2724.189941,2737.830078,2716.02002,2736.610107,2736.610107,2953420000,1.1697,18514.595,148892,2.33863,6730
43284,2733.27002,2736.580078,2711.159912,2713.219971,2713.219971,1911470000,1.1653,18514.595,148892,2.33725,6730
43283,2704.949951,2727.26001,2698.949951,2726.709961,2726.709961,3073650000,1.1604,18514.595,148892,2.3425,6730
43280,2727.129883,2743.26001,2718.030029,2718.370117,2718.370117,3565620000,1.1677,18514.595,150040,2.33575,6812
43279,2698.689941,2724.340088,2691.98999,2716.310059,2716.310059,3428140000,1.1582,18514.595,150040,2.33738,6812
43278,2728.449951,2746.090088,2699.379883,2699.629883,2699.629883,3776090000,1.1588,18514.595,150040,2.33438,6812
43277,2722.120117,2732.909912,2715.600098,2723.060059,2723.060059,3555090000,1.1675,18514.595,150040,2.33563,6812
