Date,Open,High,Low,Close,Adj Close,Volume,USD to EUR,GDP,NonFarm Payroll,3 month Libor,Unemployment,MILKBFP3,LC1,O 1,LH1,KC1,C1,BCOMXAL,VIX,DJUS,DJUSRE,DJUSCL,DL1,NG1,CO1,S1
9/14/2018,2906.379883,2908.300049,2895.77002,2904.97998,2904.97998,3149800000,#N/A,#N/A,#N/A,#N/A,#N/A,14.95,113.8,241.75,56.225,99.7,351.75,104.3668,12.07,726.65,324.74,72.22,1.281,2.767,78.09,830.5
9/13/2018,2896.850098,2906.76001,2896.389893,2904.179932,2904.179932,3254930000,#N/A,#N/A,#N/A,#N/A,#N/A,14.95,110.8,242.5,55.675,100.65,350.5,105.0444,12.37,726.19,327.22,75.69,1.274,2.817,78.18,833.25
9/12/2018,2888.290039,2894.649902,2879.199951,2888.919922,2888.919922,3264930000,#N/A,#N/A,#N/A,#N/A,#N/A,14.95,111.475,246.75,55.8,102.1,352.5,106.0837,13.14,722.61,325.71,82.06,1.265,2.829,79.74,840
9/11/2018,2871.570068,2892.52002,2866.780029,2887.889893,2887.889893,2899660000,#N/A,#N/A,#N/A,#N/A,#N/A,14.95,109.3,246.5,54.475,100.45,366.75,104.9775,13.22,722.31,325.92,79.86,1.293,2.828,79.06,831.75
9/10/2018,2881.389893,2886.929932,2875.939941,2877.129883,2877.129883,2731400000,#N/A,#N/A,#N/A,#N/A,#N/A,14.95,110.15,251.5,55.95,101.25,367.25,104.3104,14.16,719.79,326.16,80.23,1.29,2.804,77.37,845.25
9/7/2018,2868.26001,2883.810059,2864.120117,2871.679932,2871.679932,2946270000,1.1572,#N/A,#N/A,2.33125,#N/A,14.95,109.95,247.25,55.65,102.45,367,104.1049,14.88,718.26,324.68,76.78,1.292,2.776,76.83,844
9/6/2018,2888.639893,2892.050049,2867.290039,2878.050049,2878.050049,3139590000,1.1624,#N/A,#N/A,2.32706,#N/A,14.95,108.9,247,54.975,102.2,366.25,104.0528,14.65,719.9,328.26,77.04,1.284,2.772,76.5,839.25
9/5/2018,2891.590088,2894.209961,2876.919922,2888.600098,2888.600098,3241250000,1.162,#N/A,#N/A,2.31681,#N/A,14.95,109.05,246.5,51.975,103.8,365.25,104.5583,13.91,722.6,327.5,74.35,1.297,2.795,77.27,838
9/4/2018,2896.959961,2900.179932,2885.129883,2896.719971,2896.719971,3077060000,1.1566,#N/A,#N/A,2.32275,#N/A,14.95,109.875,246,51.075,101.45,368.25,105.1624,13.16,724.86,325.77,75.92,1.323,2.823,78.17,844.25
8/31/2018,2898.370117,2906.320068,2891.72998,2901.52002,2901.52002,2880260000,1.1596,18514.595,149226,2.32075,6370,14.95,108.775,243.5,50.425,98.1,351,106.3805,12.86,726.09,328.87,74.87,1.28,2.916,78.15,833
8/30/2018,2908.939941,2912.459961,2895.219971,2901.129883,2901.129883,2802180000,1.1646,18514.595,149226,2.32125,6370,14.95,108.775,243.5,50.425,98.1,351,106.3805,12.86,726.09,328.87,74.87,1.28,2.916,77.42,833
8/29/2018,2900.620117,2916.5,2898.399902,2914.040039,2914.040039,2791860000,1.1699,18514.595,149226,2.31263,6370,14.1,109.075,239.5,49.125,98.95,341,106.8139,13.53,725.77,327.87,73.13,1.232,2.874,77.77,819.5
8/28/2018,2901.449951,2903.77002,2893.5,2897.52002,2897.52002,2683190000,1.172,18514.595,149226,2.31475,6370,14.1,108.7,251.75,51.55,98.65,341.25,107.0107,12.25,728.99,329.54,73.74,1.258,2.895,77.14,823.25
8/27/2018,2884.689941,2898.25,2884.689941,2896.73999,2896.73999,2854080000,1.1676,18514.595,149226,.,6370,14.1,108.45,247.25,52,99.25,341,106.4634,12.5,725.07,329.63,71.89,1.3,2.852,75.95,820.5
8/24/2018,2862.350098,2876.159912,2862.350098,2874.689941,2874.689941,2596190000,1.1625,18514.595,149226,2.31725,6370,14.1,109.3,247.25,54.775,101.85,346.75,106.4615,12.16,724.82,326.01,73.55,1.309,2.876,76.21,834.75
8/23/2018,2860.290039,2868.780029,2854.030029,2856.97998,2856.97998,2713910000,1.1567,18514.595,149226,2.31138,6370,14.1,106.7,259.5,51.775,100.55,348.5,106.4032,11.99,719.56,326.43,72.45,1.313,2.917,75.82,842
8/22/2018,2860.98999,2867.540039,2856.050049,2861.820068,2861.820068,2689560000,1.1595,18514.595,149226,2.31175,6370,14.1,108.725,263.25,51.175,97.2,346.75,105.302,12.41,715.1,324.76,72.59,1.294,2.964,74.73,842
8/21/2018,2861.51001,2873.22998,2861.320068,2862.959961,2862.959961,3147140000,1.1534,18514.595,149226,2.31025,6370,14.1,108.9,259.75,53.6,96.4,352.5,105.5576,12.25,716.49,325.43,72.99,1.32,2.956,74.78,858.25
8/20/2018,2853.929932,2859.76001,2850.620117,2857.050049,2857.050049,2748020000,1.1438,18514.595,149226,2.30963,6370,14.1,110.475,257,56.225,97.95,359.75,104.429,12.86,716.67,327.2,74.18,1.349,2.98,72.63,874.5
8/17/2018,2838.320068,2855.629883,2833.72998,2850.129883,2850.129883,3024100000,1.141,18514.595,149226,2.31188,6370,14.1,110.45,260.75,56.475,97.25,362,103.8357,12.49,714.69,329.34,75,1.355,2.941,72.21,881.75
8/16/2018,2831.439941,2850.48999,2831.439941,2840.689941,2840.689941,3219880000,1.1388,18514.595,149226,2.32225,6370,14.1,110.875,258.75,58.6,101.2,364.25,103.2657,12.64,712.83,329.21,74.54,1.361,2.946,71.83,881.5
8/15/2018,2827.949951,2827.949951,2802.48999,2818.370117,2818.370117,3645070000,1.1332,18514.595,149226,2.31175,6370,14.1,109.275,253.75,55.475,101.7,365.25,102.9561,13.45,710.46,326.16,72.88,1.367,2.908,71.43,885.5
8/14/2018,2827.879883,2843.110107,2826.580078,2839.959961,2839.959961,2976970000,1.1351,18514.595,149226,2.31519,6370,14.1,109,249.75,52.475,102.4,361.5,102.2331,14.64,704.92,324.04,72.57,1.357,2.94,70.76,857.5
8/13/2018,2835.459961,2843.399902,2819.879883,2821.929932,2821.929932,3158450000,1.1396,18514.595,149226,2.31375,6370,14.1,108.725,260.25,51.85,105.05,362.25,104.7557,13.31,710.57,321.59,75.8,1.369,2.959,72.46,868.25
8/10/2018,2838.899902,2842.199951,2825.810059,2833.280029,2833.280029,3256040000,1.1399,18514.595,149226,2.31925,6370,14.1,108.15,258,51.65,106.25,356.5,104.899,14.78,705.92,319.93,75.17,1.353,2.93,72.61,857.25
8/9/2018,2857.189941,2862.47998,2851.97998,2853.580078,2853.580078,3047050000,1.1566,18514.595,149226,2.338,6370,14.1,109.25,256.75,51.175,107,357.75,105.8751,13.16,708.89,320.08,75.8,1.349,2.944,72.81,850.75
8/8/2018,2856.790039,2862.439941,2853.090088,2857.699951,2857.699951,2972200000,1.1598,18514.595,149226,2.3405,6370,14.1,109.05,261.5,51.4,107.65,369.25,105.6254,11.27,713.72,322.91,76.29,1.37,2.955,72.07,893
8/7/2018,2855.919922,2863.429932,2855.919922,2858.449951,2858.449951,3162770000,1.1597,18514.595,149226,2.34144,6370,14.1,111,263.75,48.4,107.85,371.25,105.853,10.85,714.58,322.69,77.4,1.389,2.949,72.28,899.75
8/6/2018,2840.290039,2853.290039,2835.97998,2850.399902,2850.399902,2874540000,1.1564,18514.595,149226,2.34325,6370,14.1,110.925,255.25,49.975,109.05,370.75,106.5398,10.93,714.92,324.36,78.54,1.421,2.897,74.65,895.25
8/3/2018,2829.620117,2840.379883,2827.370117,2840.350098,2840.350098,3030390000,1.1597,18514.595,149226,2.343,6370,14.1,111.55,261.5,50.225,108.75,371,105.7277,11.27,712.77,325.21,78.05,1.434,2.86,73.75,882.75
8/2/2018,2800.47998,2829.909912,2796.340088,2827.219971,2827.219971,3467380000,1.1612,18514.595,149226,2.3405,6370,14.1,112,249.75,50.775,107.75,369.75,105.6781,11.64,710.06,325.61,78.12,1.441,2.853,73.21,891.5
8/1/2018,2821.169922,2825.830078,2805.850098,2813.360107,2813.360107,3496990000,1.1666,18514.595,149226,2.34825,6370,14.1,109.95,243,49.65,106.7,366.75,105.3093,12.19,707.18,322.53,80.95,1.441,2.816,73.45,887
7/31/2018,2809.72998,2824.459961,2808.060059,2816.290039,2816.290039,3892100000,1.1706,18514.595,148892,2.34856,6730,14.1,110.275,239,50.775,108.05,365,104.705,13.15,703.18,323.51,72.57,1.441,2.758,72.39,891.5
7/30/2018,2819,2821.73999,2798.110107,2802.600098,2802.600098,3245770000,1.1718,18514.595,148892,2.34313,6730,14.1,107.675,235.75,61.125,109.9,372.25,106.4317,12.83,703.98,321.91,72.66,1.45,2.782,74.25,903.75
7/27/2018,2842.350098,2843.169922,2808.340088,2818.820068,2818.820068,3415710000,1.166,18514.595,148892,2.34238,6730,15.21,108.425,232.75,63.3,111.4,367.25,106.9618,14.26,700.17,316.61,70.63,1.453,2.797,74.97,875
7/26/2018,2835.48999,2845.570068,2835.26001,2837.439941,2837.439941,3653330000,1.1654,18514.595,148892,2.33888,6730,15.21,108.625,232,63.65,110.45,362,106.4296,13.03,704.43,316.51,71.5,1.437,2.822,74.29,870.5
